,From,To,Cost,Var
274,196,48,14.66666666666667,20.17018143426454
275,15,197,16.2,35.90303311947451
276,197,72,29.0,119.34599790419037
277,15,198,32.0,122.1468495968048
278,198,85,8.0,3.7346236817257523
279,152,199,71.33333333333333,326.17308892633605
280,199,164,71.33333333333333,503.257104144539
281,200,65,71.33333333333333,280.23360710368377
282,201,200,71.33333333333333,629.098849218329
283,176,201,71.33333333333333,727.5280465513227
284,163,202,71.33333333333333,434.2552794953204
285,164,203,71.33333333333333,414.5686542855689
286,202,187,57.0,284.9859942069082
287,38,203,57.0,405.4549465973842
288,203,202,57.0,177.69839576988983
289,41,165,57.0,178.28209816151028
290,72,204,33.0,47.848487148062915
291,204,86,33.0,94.3141663224592
292,85,205,26.28571428571428,41.76788752593507
293,205,86,10.91666666666667,9.682404776263951
294,170,98,23.875,72.3306447132887
295,207,208,9.25,4.6904992704858754
296,208,160,9.8,12.519388454644446
297,210,207,9.8,13.606808257789394
298,209,208,3.0,0.6925445898765703
299,210,209,3.0,0.9682262799925203
300,210,211,3.0,0.8914901949610412
301,211,213,3.0,1.0628354189996163
302,212,209,21.25,41.89912584900677
303,213,212,21.25,61.576925945178814
304,213,210,21.25,51.65826803338503
305,182,213,21.25,71.54245365345619
306,215,216,88.0,494.401134070037
307,135,215,88.0,1204.6190127236805
308,215,158,88.0,867.2161725804026
309,159,216,88.0,483.250771588168
310,216,136,88.0,841.2857836886209
311,5,217,5.0,2.373764781506251
312,217,209,5.5,1.9740833134765365
313,60,218,24.75,38.35694013876872
314,218,64,24.0,34.366899548731794
315,151,219,24.0,67.32330514263451
316,219,162,24.0,91.96725643677792
317,103,220,5.0,1.0115196830029662
318,220,99,32.0,102.67231159427598
319,223,225,1.0,0.06723707384396149
320,225,88,37.25925925925926,162.0022021335136
321,104,226,7.625,8.42516483283391
322,226,206,7.625,4.299928149636314
323,155,227,1.5,0.15510552141686895
324,227,45,19.0,29.534403178270036
325,231,232,70.04651162790698,346.07064916574416
326,241,242,62.28571428571428,217.0540830604298
327,242,229,62.28571428571428,465.53434570036273
328,228,236,246.0,3033.210725573344
329,246,238,50.0,286.02551284788825
330,229,248,50.0,153.6189566885688
331,248,238,209.0,3691.3122676760263
332,247,248,110.0,947.0356388997214
333,250,251,11.0,11.852911709772025
334,251,246,27.0,43.91091050533567
335,252,231,34.0,130.04654724817632
336,253,252,13.0,11.63445781461904
337,254,253,13.0,20.87805913368127
338,257,233,26.0,46.63514943239671
339,228,261,66.0,638.7577350131932
340,263,264,66.0,626.6185353305237
341,264,260,66.0,690.6777808395727
342,263,228,66.0,659.8966401905401
343,246,271,131.0,825.9563635475836
344,271,247,131.0,1776.3296910948281
345,250,272,131.0,1421.0998170150144
346,272,249,131.0,1307.1435875876546
347,272,271,131.0,1226.3055258651268
348,275,274,64.0,488.47318173162716
349,278,277,56.61111111111111,442.49842008766103
350,552,267,56.61111111111111,430.1241112673383
351,551,279,56.61111111111111,458.82387653164767
352,279,552,120.5,1695.5461319999974
353,280,276,34.7,109.61691948929699
354,280,281,34.7,67.81189874742476
355,283,236,16.02564102564103,32.61602555305986
356,284,241,42.0,72.66906650900673
357,554,555,2.0,0.4619561585379128
358,551,285,16.4,16.232152969089594
359,285,555,6.666666666666667,4.9844794784909645
360,279,286,13.21621621621622,14.856436518756128
361,286,554,10.33333333333333,5.53942886694611
362,286,285,1.0,0.09532508821727768
363,287,276,1.5,0.13823783096082928
364,281,287,82.0,394.4842835283507
365,277,289,4.0,0.70537787464072
366,289,288,4.0,2.4202067180644002
367,290,500,1.0,0.043791834624591526
368,291,292,4.4,0.7938496833593367
369,238,294,138.0,798.9104908575638
370,294,284,138.0,2414.544102151786
371,295,284,138.0,851.1018920932925
372,294,295,138.0,946.6638678170633
373,239,296,194.0,5314.86276172176
374,302,249,48.33333333333334,327.7733598203503
375,301,302,31.71739130434782,51.28150703690345
376,303,272,31.71739130434782,67.11409570903847
377,302,303,12.26785714285714,15.436800897947679
378,303,299,14.08064516129032,29.063368179365263
379,299,250,14.08064516129032,16.879167985094398
380,304,278,1.0,0.06546644036612864
381,305,277,1.0,0.14887113974780428
382,304,305,1.0,0.05025670491376371
383,305,288,5.0,1.8461512178929866
384,306,307,5.0,3.4913962621537493
385,308,278,59.6271186440678,532.2879989151713
386,309,308,1.0,0.09804067385110116
387,310,304,51.5,392.84341889832734
388,310,308,51.5,107.99962669679651
389,311,309,51.5,221.4844474483818
390,311,310,51.5,242.54719474221724
391,312,311,51.5,254.11451266331466
392,307,313,51.5,210.94879693538496
393,313,312,51.5,300.33329129696625
394,313,310,51.5,122.072759028948
395,314,266,108.4,740.0814523202655
396,315,239,108.4,751.0010398970079
397,316,245,48.0,146.61036040078568
398,230,317,105.7142857142857,833.452691616761
399,580,280,69.625,248.39805016736656
400,580,281,75.625,364.8886384631604
401,237,580,245.0,5791.334266173257
402,281,318,245.0,4008.8785091986624
403,319,282,245.0,6858.672721228398
404,318,319,245.0,3148.9050943605957
405,265,321,60.5,169.71225239695548
406,236,322,20.23636363636364,64.92518231857133
407,324,309,52.0,352.68803699650726
408,324,323,1.0,0.08765942268169567
409,325,323,1.0,0.12983067642243554
410,326,324,1.0,0.11944834957132229
411,326,325,1.0,0.11266953808540743
412,328,327,1.0,0.04638106320446959
413,329,330,1.0,0.14026134403413207
414,266,524,1.0,0.15557872118251964
415,524,329,1.0,0.11153785454088638
416,525,330,20.0,37.27481049973337
417,440,331,20.0,26.163849522400785
418,331,265,20.0,44.75132110499966
419,321,332,20.0,16.69068453899509
420,332,322,63.25,639.1145868532617
421,331,332,191.5,1801.1444377457021
422,581,274,33.5,77.3712926029302
423,581,275,31.6,87.72379023208349
424,580,333,122.7368421052632,2049.2230675915507
425,335,334,1.0,0.1346255022618168
426,268,537,1.0,0.06070113475896653
427,289,336,41.0,92.00658020229636
428,267,336,41.0,253.6339602457223
429,288,337,25.66666666666667,58.79080391526235
430,336,337,25.66666666666667,49.78692855925341
431,337,574,127.2857142857143,2558.2571005456466
432,336,279,49.21428571428572,260.3856796802031
433,337,551,49.28571428571428,266.2211885536309
434,317,338,81.75,1055.0217266102604
435,338,273,31.5,45.13567918509659
436,339,229,303.0,9611.701524895558
437,273,340,24.0,70.50564786385388
438,340,341,62.5,221.62158998109348
439,341,343,245.0,5759.3359672553
440,343,342,245.0,3253.294774796819
441,300,344,42.0,188.05868349714805
442,344,244,60.0,510.17366204370336
443,343,344,60.0,331.5731886814766
444,244,346,63.0,551.619833421596
445,346,345,76.5,357.58101273721803
446,347,346,19.0,22.767526342296676
447,244,348,19.0,36.80097468205276
448,348,347,19.0,48.07783766791951
449,348,349,19.0,35.63519472335748
450,349,500,187.0,5483.960976419557
451,523,328,55.69082125603865,154.77308126723884
452,351,282,30.0,111.86116236878667
453,287,352,66.375,186.2822512289558
454,352,326,101.5454545454545,1163.600242489643
455,276,569,31.0,99.76764947466908
456,569,325,113.0,667.8086685714089
457,569,352,113.0,538.243838442186
458,353,287,68.33333333333333,422.83774521549725
459,352,354,68.33333333333333,529.7883852966033
460,354,353,68.33333333333333,203.26301078118456
461,320,355,59.33333333333334,397.63011687173827
462,568,356,165.0,3243.48209936438
463,357,355,165.0,3419.8178636494986
464,357,356,165.0,3503.745770124876
465,354,358,165.0,2044.0162188961272
466,358,568,32.0,58.861799554637564
467,358,357,32.0,148.21512491448786
468,282,359,49.5,326.3879224876932
469,359,320,21.0,46.23415019736956
470,356,359,21.0,28.85206216451612
471,276,362,18.0,28.572968181363485
472,362,360,18.0,49.14002413036136
473,361,362,18.0,24.914346777404226
474,323,363,29.5,70.7378909754679
475,325,364,31.03448275862069,47.92246541964148
476,363,364,31.03448275862069,76.1855639828778
477,364,365,70.0,359.55707915465234
478,365,366,70.0,334.39102939947344
479,366,361,70.0,693.9641877629533
480,367,365,70.0,630.9948483502062
481,367,368,70.0,569.8887742377071
482,368,366,70.0,508.62560983257293
483,363,369,48.22222222222222,339.2212903121734
484,364,370,13.15384615384615,15.956113653204978
485,369,370,1.0,0.061389046978382864
486,371,367,1.0,0.10401746988477908
487,370,371,1.0,0.13925996141333577
488,373,372,287.0,5141.958768588229
489,360,374,287.0,7567.043847059062
490,374,373,287.0,3345.5752283015026
491,368,375,287.0,5313.269330691311
492,375,360,287.0,8085.522922127158
493,372,376,287.0,12191.914821280838
494,377,327,309.5,13242.388032047082
495,378,328,502.0,36685.39046910842
496,377,378,502.0,11556.67968250954
497,314,379,39.0,233.80098265526405
498,379,329,32.5,70.74668678624622
499,380,377,32.5,59.02598915491969
500,381,380,32.5,48.97334526664871
501,382,314,43.25,93.91451397544861
502,380,383,56.0,164.78185271154823
503,383,379,56.0,450.8911128404752
504,382,383,56.0,137.78530273006675
505,329,384,56.0,147.2381091277182
506,384,377,33.0,61.270862353329406
507,383,384,37.0,108.28919181605002
508,330,385,37.0,175.26120318914698
509,385,378,37.0,167.60106019549556
510,384,385,37.0,57.60036553792991
511,381,386,6.0,2.1264196505923656
512,386,382,59.0,170.98633313940314
513,387,381,18.5,51.58480294706439
514,388,389,18.5,24.416093379140644
515,390,388,18.5,35.45404012543506
516,393,392,18.5,50.34741301936852
517,392,394,41.0,134.68965766908724
518,394,395,41.0,99.99117986314666
519,396,395,41.0,244.923636950357
520,394,397,41.0,77.21312900801148
521,397,391,41.0,72.37427684715007
522,397,396,41.0,191.8352863728223
523,392,398,21.0,32.018702585714536
524,398,388,21.0,38.36301392076343
525,395,398,21.0,32.17930957237819
526,393,399,21.0,32.031115124245204
527,399,389,21.0,49.5598171913428
528,398,399,21.0,25.3293881800781
529,391,400,21.0,32.23973740099456
530,400,390,21.0,42.58952994554766
531,400,396,21.0,39.682512183191996
532,401,313,21.0,24.991375601068228
533,402,312,21.0,27.65509067392857
534,402,401,21.0,18.927265793201816
535,556,401,21.0,42.343394910515805
536,556,402,21.0,48.193946973756404
537,403,306,96.75,1290.3421399337835
538,404,307,86.0,597.5127219366715
539,404,403,1.0,0.13349656291013176
540,557,403,1.0,0.10437371433537637
541,557,404,1.0,0.1101527919058903
542,573,405,31.0,57.376456372140915
543,406,573,31.0,132.67311711160346
544,407,406,12.0,17.171245872456147
545,405,408,12.0,22.858443212559084
546,537,409,10.0,4.775896203501227
547,409,574,53.66666666666666,446.7266452737805
548,574,410,102.625,693.2698387026545
549,410,306,39.36363636363637,69.61544009362143
550,411,408,32.5,50.00108432991828
551,412,411,29.5,36.68358198909488
552,291,414,40.66101694915254,72.42791761478249
553,555,415,10.5,4.585196026223874
554,415,5,43.18181818181818,103.14616678330518
555,416,413,19.1304347826087,14.763675906072264
556,417,416,1.333333333333333,0.07225819562091898
557,333,418,35.14285714285715,129.45073786583026
558,418,581,33.5,147.5789129300084
559,376,419,33.5,94.80427382964702
560,275,420,33.5,81.28812697429986
561,420,335,18.5,21.625959426766766
562,274,421,8.0,9.11233695077303
563,421,334,21.33333333333333,55.74749284308552
564,421,420,21.33333333333333,26.77439436687412
565,419,422,22.0,45.70033873300203
566,422,335,22.0,55.16753976503694
567,423,316,45.0,89.04027574920609
568,245,424,196.3333333333333,1970.0497652723964
569,423,424,196.3333333333333,1603.0202460228963
570,424,425,196.3333333333333,2797.851309498112
571,426,423,196.3333333333333,5168.8666609730235
572,426,425,196.3333333333333,3683.766845014194
573,269,428,42.66666666666666,200.45655202005798
574,428,427,42.66666666666666,240.6539582432207
575,245,429,79.0,559.4602754925091
576,429,430,57.5,227.54961635277434
577,430,431,45.5,308.1948918077263
578,431,230,11.0,13.336560958385277
579,425,432,40.5,83.1553742539042
580,433,350,47.66666666666666,234.0540453616531
581,322,435,10.52941176470588,13.269637082918571
582,435,523,6.818181818181818,3.2711242955002064
583,436,440,6.818181818181818,5.672243004183495
584,265,436,235.0,2683.2996101497542
585,437,438,235.0,3705.728543757093
586,237,439,14.28333333333333,32.55297376046711
587,438,439,84.0,1092.2969880392193
588,437,520,84.0,351.210660518988
589,441,440,84.0,850.7523534909238
590,436,441,197.0,2014.5337254972744
591,441,437,197.0,5927.8991669150555
592,440,442,34.0,77.15696732603959
593,442,283,35.0,173.6496192395264
594,236,443,56.0,240.2178734987841
595,443,331,56.0,441.61905588518385
596,443,442,56.0,357.1367475842627
597,321,444,20.5,33.551314520078826
598,444,351,16.0,37.32395800424828
599,444,441,351.0,10830.01373110354
600,262,263,351.0,13432.391522226037
601,261,445,351.0,15206.592878316675
602,261,446,351.0,5613.36638069562
603,446,262,351.0,12792.230580962467
604,447,445,351.0,12640.166392428768
605,446,447,351.0,9073.1306895859
606,445,448,351.0,5600.810622926532
607,447,448,351.0,14389.59456582332
608,448,449,351.0,5083.144701648125
609,449,240,351.0,11298.053608514569
610,260,450,351.0,13673.87429192443
611,450,240,351.0,13517.40040417379
612,525,451,351.0,19259.56750439489
613,451,228,42.0,204.30610349822066
614,320,452,30.0,43.4259830449863
615,452,318,30.0,125.5767224701585
616,355,453,6.0,1.657407296796622
617,453,353,8.0,8.982537067350503
618,453,452,8.0,4.524564042550116
619,454,270,8.0,9.299010494518795
620,270,455,8.0,9.52895989383661
621,456,290,62.0,248.08812793849887
622,455,456,62.0,157.09156447187993
623,259,457,22.96153846153846,39.96252805334923
624,457,458,30.0,104.0417725455959
625,259,459,30.0,112.18655453178974
626,458,459,30.0,132.1866157812461
627,258,533,30.0,112.04228652998772
628,459,533,30.0,114.24536877283313
629,459,460,16.0,31.745186599103953
630,460,461,16.0,13.869925841540608
631,461,462,16.0,10.270263169421721
632,463,257,36.0,87.05172377395932
633,462,463,39.0,143.4312314465653
634,234,464,39.0,200.53788470771798
635,465,256,33.0,55.959391769248455
636,255,466,11.0,5.258203587897386
637,466,254,56.25,361.4447372001319
638,243,467,41.0,87.1515386912933
639,467,253,106.0,857.406729221525
640,243,468,46.25,148.02952072502404
641,468,295,105.5,451.7936363000368
642,231,469,1015.0,42237.89238678737
