From,To,Length,Cost,Var
145,1785,416.8350472,68.63013536,715.2334093
145,1312,332.3477681,19.80191763,19.05996774
145,1684,512.3599603,43.51862612,1038.840743
146,350,509.2293938,19.94072293,45.12137766
146,320,354.8405378,26.51406318,17.30593993
146,662,397.789706,28.57040195,23.38425805
147,1252,542.0671848,59.84735542,267.5557309
147,347,335.5366158,95.55777765,1548.466666
148,296,807.9075937,28.77299986,48.32246552
600,148,424.2016114,34.98969815,64.36520247
148,385,987.1946311,44.88271819,133.9248126
149,885,2267.648197,31.41428296,319.3887868
149,1033,1197.465221,146.4624366,1121.865376
149,928,2127.548928,31.16991455,203.4286866
149,655,2179.590363,28.17695617,70.60658766
150,192,2345.110412,203.7615465,288.9486407
150,671,2095.434059,279.9902017,763.9528833
150,644,2514.976447,201.2518278,3960.927182
151,440,6002.490796,165.7347805,766.4431245
151,512,2766.271694,103.9944929,669.0985542
152,1679,450.5765588,57.10504006,328.4447558
153,430,202.4215131,59.95471132,109.9363051
153,261,1051.848713,26.34952579,6.784909879
153,195,82.58190296,36.37367676,81.97166071
154,887,316.3795714,21.34871791,21.74020479
154,873,148.7778925,44.73686227,196.2982775
154,866,185.3524974,63.60271073,337.8571059
155,1819,707.9021962,58.78974588,493.4764164
155,1014,979.1256531,29.52369207,31.25752826
156,251,675.9550383,124.9738762,360.9572971
157,973,211.7407755,15.34246171,15.77045377
157,847,386.9552079,27.71265303,29.24336434
157,1050,310.3407247,26.03021605,12.38311135
158,1744,245.578267,66.62361112,341.797958
158,1301,247.334841,39.33901682,106.5044229
158,1742,229.3955227,59.67801116,367.5186381
158,1710,254.2968848,26.8431039,55.01687624
159,1552,169.2628635,32.90030673,60.97508527
159,1753,324.7243547,40.56283327,74.62516341
159,1197,461.8731119,45.63648405,296.818304
159,1233,171.7090782,37.83946382,92.76374296
160,216,192.2927303,20.64233909,4.208073889
160,581,203.1393862,39.01393351,152.5015069
161,203,424.8850094,180.0963857,1190.201473
161,282,811.0468057,58.10838842,272.4349844
162,1126,517.6338569,41.62951116,101.2314044
162,1156,169.605448,40.8814587,126.1341054
162,1088,286.0144809,51.68686526,453.0617627
162,636,207.7138149,40.05027533,48.05271038
163,780,287.5102115,14.0610576,5.270761034
