From,To,Length,Cost,Var
82,312,244.0320835,125.2744307,769.5060253
82,208,343.7264565,152.6398028,5169.484772
83,656,645.8292508,66.64942348,62.1437654
83,494,367.8425915,27.55153245,44.75920079
84,1487,333.8853966,61.36855503,389.049325
84,1448,494.3112084,78.33588383,171.2025263
1442,84,403.8793365,28.92905189,32.20655411
84,803,1348.923914,57.8578962,221.2616009
85,1407,1662.937701,45.12157749,156.2349235
85,1021,2259.420999,41.12678487,116.1870578
85,1201,176.3622819,41.38520297,47.82982164
86,170,160.9066087,157.924571,2192.532085
86,212,299.4921877,58.11058502,703.5005716
86,329,698.8963881,77.26493952,697.3803802
86,316,464.4351601,150.0911564,389.6966448
87,356,402.5694056,41.34853351,114.8093717
87,973,883.1558153,22.39245092,23.66750376
87,213,987.1946311,58.90911583,209.454477
88,1762,766.5512676,23.29696218,29.99050092
88,1190,964.822029,30.1895406,36.09153701
88,570,949.7687465,24.56014391,70.22034992
89,1453,1234.279989,89.58500555,417.0117028
89,404,633.6067313,48.1252816,247.9441659
89,1845,619.7093779,23.13782326,53.88289697
89,1003,711.2274612,30.81113485,27.23969701
90,500,1080.785337,41.64509461,58.19589913
90,527,792.6168708,69.29428508,247.2327333
91,321,214.3025008,56.32278017,708.8209827
91,308,269.0872958,61.07266641,197.3788145
92,878,363.9071631,16.45788209,1.690519827
92,283,520.1873761,46.78665628,81.99835645
92,1180,418.6414886,67.40909044,339.8175149
92,510,209.2367022,55.79050779,106.7965148
93,664,366.3525489,18.97825597,9.883864021
93,271,364.7385995,34.26551904,70.76456148
93,574,1658.984337,55.51326724,50.12000193
93,1211,477.5222472,168.8554233,2442.066855
94,220,1769.885404,152.8272632,3595.021392
94,259,460.3875534,72.14745398,273.044329
94,337,256.210622,56.41106606,374.7383417
94,311,443.8111945,82.34226762,2149.509488
95,123,232.8683491,79.33503314,380.5077951
95,207,174.7956832,211.0326759,734.7220399
95,165,144.6887032,87.17634395,282.9265732
95,137,198.5438166,262.6323068,3937.213109
96,1020,214.3053235,42.48919217,66.88978798
96,273,224.9325864,88.35483029,285.8495964
96,152,124.055725,125.9187282,6038.068207
97,181,437.604509,27.6270433,4.615703804
97,741,104.1724733,40.00568909,6.996615034
98,1608,190.9052235,51.00648126,188.3299454
98,1013,280.2382615,49.3589027,84.97338706
98,1478,272.1300849,36.88860981,61.60054816
98,1378,622.3122248,46.07714295,64.43330198
99,276,537.6519444,28.81365061,29.67971822
99,1237,250.6598557,52.81094404,142.2903623
99,923,284.4441927,26.2918977,17.17092443
100,427,297.4542591,46.4840021,129.2608953
100,211,346.78701,64.39884184,80.23848849
100,170,310.8469857,75.91740927,696.9983018
101,1043,859.1051817,65.69894978,573.348689
101,413,120.950215,33.59104541,146.6498749
101,402,931.4646503,25.78096424,34.53648789
102,1536,1083.881004,116.910576,793.489382
102,1800,762.4217694,22.40985936,42.15088179
103,998,557.8703401,59.36467267,327.1425547
103,762,365.5265608,74.15672996,407.9081219
103,553,881.2258787,18.11568098,18.50527786
104,333,2127.548928,190.9179684,1888.716576
104,599,827.6900126,120.6850092,2233.1464
105,321,2267.452804,80.59216084,424.7299724
105,406,619.7093779,123.8905099,1578.297231
105,334,592.1145424,258.7668608,5994.855271
106,822,618.8615534,29.69695282,9.435098915
106,715,304.8576438,96.20750827,4843.618212
106,546,138.1830066,184.1732181,16307.59194
107,1193,200.9250985,18.66555355,7.611184649
107,1096,268.7515305,17.97493088,22.2159909
108,233,290.3158797,10.85438154,5.983219322
108,1217,238.0516,49.82789358,192.5849708
108,220,301.3132414,60.61532738,266.690748
109,179,254.7836353,56.31185469,178.8874868
109,193,372.02162,233.7701331,3451.993258
110,194,234.1682854,79.07826053,2365.335323
110,208,963.8123125,94.42369064,2996.378777
110,221,670.6359917,45.73914054,409.3880689
111,709,495.6572492,22.76798161,40.55591733
111,125,230.078411,46.69593417,300.4677183
111,339,325.53111,56.93589644,254.4182934
111,1299,370.3952835,60.23069784,110.3187418
112,1870,490.4980126,45.55489987,763.3034626
112,734,812.2037884,32.31938819,52.67925035
112,1097,75.3913012,30.17720044,354.6396113
113,1280,161.9954584,21.09218265,18.461042
113,727,324.4906359,55.77030001,191.3855313
113,1335,383.5315126,27.21777182,34.5690071
114,412,1058.0009,56.35289188,405.3480439
114,225,804.0456248,75.68763804,318.855517
115,776,549.5478994,65.30521747,633.0647878
115,720,1085.589741,54.52662047,457.9266126
115,641,919.8431229,54.5544864,141.3048618
115,695,1640.565362,58.36381514,214.285643
200,116,1866.193322,43.15923406,186.5618713
117,1203,372.5739333,32.00771897,75.16668737
117,1612,67.67788705,19.31581021,16.15652412
118,1017,88.70577189,167.6392672,817.0587012
118,1107,534.7818544,23.1360278,24.47400072
118,473,107.0088861,24.77432748,33.16246666
118,294,473.6901755,167.0373824,2371.94215
119,189,2179.281715,33.81460681,123.4356938
119,372,775.7273466,40.21823563,616.5692714
119,175,3154.6432,144.8029547,1551.605853
763,120,565.2138329,62.13545177,187.9735572
120,564,540.5774824,40.90451826,34.42714052
120,906,397.2930404,38.87328257,28.21019225
120,588,382.8435085,44.69260009,118.3179595
121,740,426.6868549,70.1261116,382.4493209
121,1075,294.8788977,84.13591789,1284.742081
122,178,1033.325213,46.03812587,41.48975604
122,220,97.02682425,119.6037622,445.7175656
122,259,169.5263733,103.3996798,823.5127373
123,151,377.2787873,97.49831986,150.8997615
