From,To,Length,Cost,Var
33,440,442.5338513,282.2988126,16011.0581
33,65,641.1616517,225.5764844,30593.0298
34,166,421.783258,31.12952241,161.3907579
34,152,1557.607396,79.18841384,590.3323536
34,82,2356.527401,63.3512578,364.4922807
34,194,3932.226913,48.75776122,687.3363445
35,751,633.6067313,674.0539832,44579.02756
35,51,824.5702416,246.5702716,8782.33292
36,68,221.4271661,280.4151535,2270.921151
36,52,618.1188471,310.8075081,3069.145427
37,387,3962.074577,65.16099821,197.070347
37,566,2352.605615,54.80617156,147.9707651
37,674,3705.554474,44.48975358,636.6451738
38,1212,2397.625728,47.88830876,65.57792022
38,908,3382.064279,38.41454199,230.2927096
38,803,3231.919547,116.1649558,1530.219519
39,595,347.1260675,148.5485279,3021.291296
39,315,476.5458367,349.6679433,4604.244636
39,825,290.8539716,38.75352061,23.11695373
40,412,870.2509514,88.2009156,444.4207966
40,390,289.0479444,70.67535263,133.6819162
40,156,525.6174909,84.68517871,288.5321452
41,87,1568.99986,57.32330741,262.0766101
41,143,468.6458284,41.56052125,387.0308615
41,833,534.061291,18.52107752,25.74803149
42,799,868.2777382,177.7619171,10992.09743
42,953,646.8891553,37.45113035,222.7727324
42,1112,713.2862675,29.90402874,81.35586088
43,1877,256.210622,48.02479444,970.8858415
43,643,211.7407755,40.39915714,147.1215911
43,1173,124.1066729,118.3425645,2756.481078
43,1727,848.9314547,78.17648214,2759.045641
44,202,289.5094766,56.91870915,278.3825803
44,572,230.317022,114.3162104,525.2693349
45,269,369.6500203,70.99390936,494.6006943
45,715,429.010321,119.2067755,652.3807106
45,1252,426.6043255,46.56493149,89.96517334
45,147,494.2698699,58.45226611,112.003621
46,739,395.6032631,50.15990285,847.9571887
46,204,389.6542203,16.74137046,4.956945974
46,1046,766.0010004,14.79295859,4.654430528
46,1246,424.8850094,17.53955886,5.675708662
47,914,684.6502382,45.50727029,321.3024867
47,1026,1020.176889,48.35249665,71.39914005
47,1121,395.8115907,16.63093197,9.616268122
48,233,316.9564225,98.78323851,2789.871212
49,151,437.27896,121.8208353,1724.841136
49,81,260.2348094,148.8334132,4581.369485
50,325,229.5704148,32.43341735,85.47269845
51,52,205.4299773,100.1889958,226.3025629
51,67,280.7455374,502.3775554,10996.17002
53,665,113.8159393,216.8871893,5201.944276
53,449,922.6154733,20.52591551,24.7388188
54,300,1179.207157,108.7703405,390.1722473
54,223,949.7687465,22.69401716,29.19084478
54,1418,1042.151102,58.63162478,294.7193143
54,943,2157.007237,109.536507,1988.84992
55,1111,447.9160573,51.7086663,471.6675602
55,1243,260.003546,47.47419903,130.3378628
55,881,2352.605615,36.72258275,151.7049703
56,198,1099.377533,69.70372175,2790.034457
56,170,5178.755161,48.65041363,63.77004885
57,861,4181.143453,14.87848258,23.94504304
57,897,3382.064279,84.96587411,646.1432207
57,1629,1099.377533,37.92212159,108.0200238
57,819,175.2258277,141.1255919,3023.472857
58,1372,1387.754926,70.59846901,278.3931
58,1665,174.577126,26.95322648,46.32616557
58,1473,878.2173475,65.38329584,209.9686641
59,1038,681.411241,48.17609239,348.8326429
59,117,399.819279,46.3368713,187.0897811
59,472,215.9173046,26.98079576,100.1071512
60,464,217.6304248,93.03425301,4877.50368
60,599,364.468426,81.34530717,3109.679319
60,307,640.8767311,172.186952,4009.048509
61,256,587.8169162,195.9467891,6196.452219
62,190,1120.459658,41.9782611,313.4834353
62,344,63.4009281,31.11977892,61.25535671
116,62,1083.884355,33.17503314,159.0958764
63,362,280.3753136,62.90092171,196.4386536
63,1040,369.4097262,32.28742587,117.6084937
64,764,344.4107303,108.4434302,1921.991617
64,298,138.3653967,79.45182003,425.0881381
64,673,245.4249467,65.50278089,212.1369335
65,109,313.9204424,209.3566149,11817.83195
66,312,207.9239017,90.50015046,834.7438023
67,138,2896.260247,214.1976012,3095.159905
68,401,1233.652182,206.7704845,2231.089971
68,251,1072.394654,310.6910242,1798.762907
69,261,769.663418,24.85333528,31.26148309
69,391,274.1133533,127.0333082,1855.214381
69,476,266.2771936,109.7709673,1250.198012
70,1410,304.9521499,31.92845573,76.54469937
70,1673,224.0604964,103.1009112,2214.548035
70,1628,442.5338513,48.30929738,129.2599167
70,992,556.1092987,41.76948481,736.9031099
71,1423,506.0911374,35.30122699,118.2139258
71,1419,667.0150371,49.18620158,288.6139742
71,1379,620.9053755,41.86534477,652.6724441
72,198,1557.607396,60.39085051,426.2108042
72,277,2179.281715,84.27742158,1414.90139
72,423,1933.671041,87.61458995,915.0889031
73,368,747.6592605,17.07505289,13.03976558
73,1172,680.9342629,43.66042143,127.2096818
74,1396,2847.913944,42.72468636,225.836813
74,1874,5178.755161,31.6393046,46.93369082
74,102,2514.976447,75.15278872,432.4917829
75,778,3231.919547,128.8444542,3162.607191
75,535,3561.461404,31.76724116,87.71693422
75,730,2556.670043,70.95283897,588.0662888
76,394,233.2483219,66.72248183,439.230771
76,255,1044.207014,38.29828315,68.68393439
76,509,1103.828643,73.92966743,204.6950112
76,689,335.3540978,52.30697996,81.21448801
77,282,217.7158719,165.1236526,10917.55894
77,395,433.0946594,323.180883,20041.19392
77,910,543.3340304,258.3728452,11582.09193
78,1032,260.1592847,15.54114497,83.1274381
78,927,315.986651,20.11897368,77.43891629
78,474,171.0052479,26.67988827,24.20988901
79,1067,513.6855656,64.51701027,1553.137963
79,205,518.3521345,68.53197034,2167.132407
79,1268,686.2321224,67.97833076,2330.482083
79,740,66.08638951,84.69172063,2347.045581
80,324,155.8463457,122.0187813,4101.427728
80,136,490.4980126,127.612889,1495.635931
81,123,269.7031656,187.2017658,4889.869572
82,96,270.7760379,93.43593795,305.9340558
82,312,244.0320835,129.5728138,1620.240133
82,208,343.7264565,132.1848614,2538.856078
83,656,645.8292508,56.63692431,228.8038139
83,494,367.8425915,26.92441984,97.02409048
84,1487,333.8853966,91.74314828,972.8272978
84,1448,494.3112084,77.78607059,561.0432893
1442,84,403.8793365,33.89301637,137.8486244
84,803,1348.923914,81.45789956,524.8601977
85,1407,1662.937701,62.64025078,838.4379109
85,1021,2259.420999,51.89325792,315.2471487
85,1201,176.3622819,45.59912817,243.9614994
86,170,160.9066087,174.4165044,1816.62007
86,212,299.4921877,41.75183105,493.4320968
86,329,698.8963881,112.3911455,2002.097218
86,316,464.4351601,166.6517386,958.9873737
