From,To,Length,Cost,Var
149,1033,1197.465221,182.641331,5921.958878
149,928,2127.548928,39.6163025,338.9718042
149,655,2179.590363,33.96334119,62.83115388
150,192,2345.110412,304.9104731,6332.368762
150,671,2095.434059,320.606229,1760.179895
150,644,2514.976447,249.4341782,4633.030626
151,440,6002.490796,163.3945167,232.462143
151,512,2766.271694,134.8944483,5140.303364
152,1679,450.5765588,58.19484207,305.4425817
153,430,202.4215131,66.73516727,665.8362378
153,261,1051.848713,32.00561287,22.09526135
153,195,82.58190296,40.51025992,212.4857825
154,887,316.3795714,38.65486605,171.8332419
154,873,148.7778925,51.24552986,196.2341118
154,866,185.3524974,63.67560057,227.3767685
155,1819,707.9021962,77.42747351,237.1943904
155,1014,979.1256531,51.49429862,156.8597047
156,251,675.9550383,138.6889827,1004.957235
157,973,211.7407755,22.44156731,24.26714237
157,847,386.9552079,29.4588727,18.63479147
157,1050,310.3407247,32.14452292,60.09343519
158,1744,245.578267,70.28883533,353.7361256
158,1301,247.334841,45.72012593,147.5507846
158,1742,229.3955227,77.91150443,389.4627142
158,1710,254.2968848,32.26819155,66.01665148
159,1552,169.2628635,32.35732621,56.19261348
159,1753,324.7243547,78.63505593,1218.058537
159,1197,461.8731119,40.89912344,261.2515308
159,1233,171.7090782,49.3788323,88.42198965
160,216,192.2927303,21.25230566,7.581382415
160,581,203.1393862,41.73446258,143.8928097
161,203,424.8850094,215.7933796,1015.153713
161,282,811.0468057,66.29834039,249.4011727
162,1126,517.6338569,53.45831058,228.9055333
162,1156,169.605448,46.21201735,306.4759585
162,1088,286.0144809,58.59330956,80.01782734
162,636,207.7138149,47.89256037,126.6759678
163,780,287.5102115,15.16428412,11.31693378
163,1175,304.7306833,109.6403591,1628.185837
163,1273,1429.612616,34.86683172,79.68705046
164,285,3785.284771,32.14428095,442.738164
164,429,3630.189347,28.16262282,29.62818617
164,246,5555.625992,127.0780086,1751.316633
165,179,1042.151102,133.7645636,3534.65291
166,247,1007.20024,415.0914253,45400.45786
167,765,1686.876154,109.1791312,2469.477604
167,575,1212.751048,117.5656271,733.5596044
167,355,824.5702416,365.0843588,28917.21233
168,314,592.1145424,43.58747376,225.7287649
168,236,648.108398,35.14728161,134.3758613
168,1164,498.4011262,74.41948581,255.3901158
169,667,456.4763158,53.90745098,559.5178466
169,666,758.9915608,50.60583814,78.73332887
169,1028,590.2740786,36.22049736,198.9022168
170,379,335.3455183,126.2682102,783.0790083
171,226,217.7945999,22.42495701,235.5978485
171,1172,250.1177755,98.31942905,550.3764174
171,470,282.5648445,40.5061374,567.3643309
172,1889,662.8173793,118.4911175,2979.472386
172,1461,868.2777382,90.73982011,1359.52921
172,1455,1488.209222,54.3212215,206.1214737
173,1739,247.6028455,15.03724887,7.161179639
173,1492,124.9885857,140.3846281,1101.261721
173,1857,264.9908061,25.64996796,41.99764166
856,173,316.353673,80.22929858,433.804622
174,371,209.9648436,69.74644064,328.2659656
174,563,440.7880496,55.71658913,119.0750757
174,554,461.0406423,64.60778002,214.9621237
175,395,194.8399982,40.70327037,145.0650126
175,230,192.3210884,81.24985254,708.3541719
175,533,192.5446616,160.0984722,554.565032
176,335,359.6266167,64.68101829,24.25754479
176,474,187.5999976,46.83630554,350.661962
176,1150,293.6547713,26.86062882,22.04246141
176,976,2332.882465,49.39671137,151.0197156
177,1241,607.8317277,33.04809512,109.4992306
177,1145,421.055211,33.84551019,34.40389184
177,1293,404.8263078,69.69611394,410.7868317
178,375,383.5351888,191.6681515,3625.020612
178,233,355.3244599,84.49291117,198.5107912
180,351,119.0059977,140.999507,2099.08195
180,247,465.079489,86.5756513,1895.368061
180,260,199.1673978,246.9972836,11020.43494
181,757,1119.4482,119.2812507,125.0169229
182,1535,607.0437569,66.66634816,590.4905772
182,1269,237.384053,107.0156677,836.566267
182,262,222.4363981,121.719471,9340.219988
183,1415,827.6900126,28.41970494,72.38972814
183,1070,1273.221246,192.342427,2040.632705
183,902,221.4271661,58.07738689,162.2152095
184,423,749.885223,52.97260762,48.60496949
184,277,2158.517894,62.80863051,56.52676867
184,303,2239.113637,82.688255,394.6341985
184,367,733.8491381,55.94874582,244.4130116
185,1043,880.2680957,99.84393289,1637.670558
185,760,202.805409,63.3670967,265.5478944
185,720,217.7093658,64.26873937,396.0243175
186,1404,362.6073537,78.88542066,651.3447016
186,1901,340.0459077,47.61136605,184.8842265
186,1491,461.8181134,41.32243696,60.41035084
187,1516,246.5623188,40.97405427,248.1164597
187,1711,640.8767311,51.78817713,201.7923516
187,1552,1658.984337,105.0258116,1049.118541
187,1753,963.8123125,53.65737901,314.2337262
188,491,1357.614927,64.12329351,166.8457293
188,202,218.5365629,218.5762164,3864.932708
188,653,319.6698727,15.83343624,15.77926275
188,359,422.1405494,57.71987192,534.4850456
189,417,349.507551,13.11754008,16.90452554
189,395,401.2949579,211.1209325,2823.426411
190,1074,568.33417,48.98018813,329.4257938
190,1004,551.763024,51.02762133,292.8051817
190,200,122.5245309,37.3628026,217.7802421
191,1040,70.09905097,64.32362419,682.6292173
191,362,391.1443351,26.64789251,51.2586258
191,865,234.484803,74.48816578,246.4152157
191,1328,350.2268409,29.43128627,38.85651278
192,375,1152.580029,212.478068,7761.97692
192,324,612.8852385,176.8913693,1682.226878
195,765,230.0838524,108.589407,814.5332857
195,575,1023.613396,117.2399589,1210.736693
195,584,447.1794015,56.26260098,608.6369939
196,1682,344.1873759,31.39674027,395.1300183
196,1580,280.4339864,18.14629414,27.49496025
197,951,149.8594526,29.31326589,90.83818274
197,1423,99.16646842,13.50413971,26.41985076
197,1415,153.1367922,65.1282903,163.715924
198,464,311.8275242,66.43307713,18.74176213
198,238,530.9788349,33.68477344,7.249335793
199,752,1027.36922,176.8238039,1453.536478
199,868,1622.907788,171.8738808,5847.079722
199,720,1371.854501,60.73373722,285.7951234
199,776,775.7273466,65.29383926,249.3271428
200,1081,1273.221246,47.91412386,128.1039087
200,552,429.7601915,64.41635206,446.6019692
201,454,1423.545352,86.4361908,481.0735139
201,1853,660.0908925,75.09220499,352.7028098
201,1713,138.1830066,108.7104672,679.9310635
201,1073,517.3137746,99.22198031,1068.254433
202,644,668.0956507,275.2221497,839.508732
203,256,512.3204759,49.51873813,49.28974835
203,295,191.6409795,20.61667975,27.54451473
204,1204,435.7195761,52.06685306,307.864657
204,857,708.1282195,92.87818146,791.4151238
205,747,346.8276777,30.50980474,391.2770549
205,1268,638.6214367,30.34843498,15.8410928
206,529,700.0652288,711.3652006,196122.148
206,375,522.8182633,96.43539003,2232.52033
207,512,520.6009924,196.8964733,12931.82845
207,1703,525.6727881,159.8156216,3732.009029
209,476,484.2725668,81.77327094,3924.726631
209,701,531.3212946,101.1046819,878.8637886
209,420,352.9601232,163.5592185,3367.182865
210,1414,252.2814082,13.43755165,14.67911811
210,1207,219.2840124,27.80946381,20.04186698
210,1481,169.1415537,146.1544714,806.7427765
211,1056,356.833513,113.8297285,912.2458375
212,238,193.4954925,22.63235217,5.039181611
213,596,186.6504078,30.76229879,65.21972606
213,1001,1642.392969,23.89457817,132.9903433
214,344,745.0250747,114.9027067,1433.910569
214,1443,1099.55667,21.44213293,45.33994964
214,1668,183.7408367,36.41033613,75.46993167
215,1839,245.8542348,48.02227797,213.2368196
215,1031,1151.644154,28.04445444,14.74719903
215,1875,56.12003488,88.82265344,336.8567638
216,518,274.1133533,31.13195376,16.54081287
217,243,251.8647729,200.8436903,5143.289048
217,269,290.8412154,81.53574592,835.2843029
217,347,475.2483778,34.29651851,141.291741
218,373,199.749515,45.30139935,339.2036947
218,822,559.1429178,50.20003595,728.9943059
218,1180,296.0129091,114.1551872,1766.898352
219,564,259.4707753,113.4243771,2092.192779
219,457,3785.284771,93.95916061,1417.042872
219,998,2139.601077,117.3551526,460.4130735
219,1823,2011.063681,126.6051049,1319.631001
220,363,3154.6432,71.3595323,308.8413058
221,325,2179.590363,180.5830534,4462.023832
222,725,6002.490796,68.30166928,472.7756802
222,274,618.1188471,54.76784857,341.2072591
222,398,565.2138329,45.1600371,154.1852825
222,485,702.2276992,53.63943315,136.0184433
223,567,498.4011262,37.04277873,133.1867724
223,1339,757.4978528,39.51179505,49.70600521
224,1014,528.5533142,36.15820505,109.5625458
224,874,784.7516748,29.84349325,83.52396045
225,329,124.7648613,35.4698715,98.61610812
225,264,107.4526092,141.9003349,2147.429943
226,402,191.0314798,21.06556381,5.525455022
226,903,227.001576,52.18389016,499.3911009
226,1623,580.2083918,43.88995244,713.4731255
1464,227,148.8402194,36.33178521,86.73582126
227,1044,587.8169162,25.17936484,45.22926333
227,1322,513.6855656,33.79915797,73.34485538
228,1609,680.5687301,81.46493194,224.953486
228,807,1400.008339,28.95433215,35.29794703
228,1277,496.3083944,48.74259567,89.33084183
228,1185,1387.613862,55.07855327,268.2520166
229,1450,463.9731336,76.5592652,141.8823414
229,509,1083.740058,9.494969837,5.592646421
230,868,276.7374659,156.0695312,5002.043714
230,752,251.8647729,221.8586147,2898.137185
231,871,496.9132974,26.71037545,29.65871265
231,934,175.3875019,47.13035974,243.7183433
231,418,455.1286603,40.08920039,85.46235928
231,969,412.7881835,102.7380521,4080.322906
232,1283,482.9838012,126.5330333,966.8446606
232,1145,423.7185614,67.45850057,259.1076707
232,1005,389.6542203,63.06292048,214.4898848
